PARTY,Q2A_C,Q2A_D,Q2A_F,Q2B_A,Q2B_B,Q2B_C,Q2B_D,Q2B_E,Q2B_F,Q2B_G,Q2B_H,Q2B_I,Q2B_J,Q2B_K,Q2B_L,Q2B_M,Q2B_N,Q2B_O,Q2B_P,demFav,Q2A_A,Q2A_B,Q2A_E,repFav,cDemFav,zDemFav,zRepFav
Independent,3,NA,2,1,3,2,4,2,4,NA,4,4,NA,NA,4,NA,NA,NA,NA,2,3,3,3,2,-0.332861484,-0.415243752,0.009082872
Democrat,2,4,2,2,2,2,3,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.666666667,4,NA,2,2,0.333805183,0.416421014,0.009082872
Independent,3,2,2,NA,3,4,4,1,1,4,4,NA,NA,3,3,2,NA,NA,NA,2.230769231,4,NA,3,1.5,-0.102092253,-0.127359795,-0.619385178
Republican,4,NA,4,4,4,4,4,4,4,4,4,NA,4,NA,NA,NA,4,NA,4,1,2,4,2,2.333333333,-1.332861484,-1.662740901,0.428061571
Republican,4,4,3,3,4,3,4,4,4,NA,NA,4,NA,NA,4,4,NA,4,4,1.214285714,2,NA,3,2.5,-1.11857577,-1.395420083,0.637550921
Independent,4,4,4,4,4,3,4,4,4,4,NA,NA,2,NA,4,NA,NA,3,2,1.428571429,2,NA,3,2.5,-0.904290055,-1.128099266,0.637550921
Independent,4,NA,4,3,4,NA,4,4,4,NA,NA,4,NA,NA,NA,NA,NA,NA,NA,1.125,1,2,2,3.333333333,-1.207861484,-1.506803757,1.684997669
Democrat,2,NA,2,2,NA,NA,NA,1,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,4,3,3,1.666666667,0.867138516,1.081752826,-0.409895828
Republican,4,NA,4,4,4,4,4,4,4,4,NA,4,4,NA,NA,NA,4,NA,4,1,1,4,4,2,-1.332861484,-1.662740901,0.009082872
Democrat,1,NA,1,2,2,2,2,1,2,NA,1,2,2,2,NA,NA,2,NA,NA,3.307692308,4,4,4,1,0.974830824,1.216098673,-1.247853227
Democrat,4,NA,2,3,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,4,4,4,1,-0.332861484,-0.415243752,-1.247853227
